"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
108650,FR,31,C14HT01UGNFR,12650,58000,,C14HT01UGNFR,,"2025-06-02 17:48:38","2025-09-01 10:03:00"
108652,FR,29,C14HT01UIVFR,12650,58000,,C14HT01UIVFR,,"2025-06-02 17:48:39","2025-09-01 10:03:00"
108654,FR,23,C14HT01UPKFR,12650,58000,,C14HT01UPKFR,,"2025-06-02 17:48:39","2025-10-16 15:52:00"
108656,FR,29,C14HT02UBKFR,12650,58000,,C14HT02UBKFR,,"2025-06-02 17:48:39","2025-09-01 10:03:00"
108658,FR,27,C14HT02UBLFR,12650,58000,,C14HT02UBLFR,,"2025-06-02 17:48:39","2025-09-01 10:03:00"
108660,FR,29,C14HT02UGNFR,12650,58000,,C14HT02UGNFR,,"2025-06-02 17:48:39","2025-10-20 09:30:00"
108662,FR,31,C14HT03UBGFR,12100,58000,,C14HT03UBGFR,,"2025-06-02 17:48:40","2025-11-18 08:35:00"
108664,FR,35,C14HT03UNVFR,12100,58000,,C14HT03UNVFR,,"2025-06-02 17:48:40","2025-09-01 10:03:00"
108666,FR,33,C14HT03UWHFR,12100,58000,,C14HT03UWHFR,,"2025-06-02 17:48:40","2025-09-01 10:03:00"
108668,FR,21,C14HT04UGRFR,12650,58000,44219978547372,C14HT04UGRFR,,"2025-06-02 17:48:40","2025-11-24 18:16:00"
108670,FR,24,C14HT04ULBFR,12650,58000,,C14HT04ULBFR,,"2025-06-02 17:48:41","2025-11-12 14:33:00"
108672,FR,27,C14HT04ULIFR,12650,58000,,C14HT04ULIFR,,"2025-06-02 17:48:41","2025-09-01 10:03:00"
108674,FR,28,C14HT04URDFR,12650,58000,,C14HT04URDFR,,"2025-06-02 17:48:41","2025-09-01 10:03:00"
108676,FR,20,C14HT04UWHFR,12650,58000,44219978580140,C14HT04UWHFR,,"2025-06-02 17:48:41","2025-11-24 18:16:00"
